"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1709",2014,2,1,"South",4,77,"UCLA","Stephen F Austin",60,12,1
"1710",2014,2,1,"South",12,60,"Stephen F Austin","UCLA",77,4,0
"1711",2014,2,2,"East",1,78,"Virginia","Memphis",60,8,1
"1712",2014,2,2,"East",8,60,"Memphis","Virginia",78,1,0
"1713",2014,2,2,"East",2,65,"Villanova","Connecticut",77,7,0
"1714",2014,2,2,"East",7,77,"Connecticut","Villanova",65,2,1
"1715",2014,2,2,"East",3,85,"Iowa St","North Carolina",83,6,1
"1716",2014,2,2,"East",6,83,"North Carolina","Iowa St",85,3,0
"1717",2014,2,2,"East",4,80,"Michigan St","Harvard",73,12,1
"1718",2014,2,2,"East",12,73,"Harvard","Michigan St",80,4,0
"1719",2014,2,3,"West",1,84,"Arizona","Gonzaga",81,8,1
"1720",2014,2,3,"West",8,81,"Gonzaga","Arizona",84,1,0
"1721",2014,2,3,"West",2,85,"Wisconsin","Oregon",77,7,1
"1722",2014,2,3,"West",7,77,"Oregon","Wisconsin",85,2,0
"1723",2014,2,3,"West",3,55,"Creighton","Baylor",85,6,0
"1724",2014,2,3,"West",6,85,"Baylor","Creighton",55,3,1
"1725",2014,2,3,"West",4,63,"San Diego St","North Dakota St",44,12,1
"1726",2014,2,3,"West",12,44,"North Dakota St","San Diego St",63,4,0
"1727",2014,2,4,"Midwest",1,76,"Wichita St","Kentucky",78,8,0
"1728",2014,2,4,"Midwest",8,78,"Kentucky","Wichita St",76,1,1
"1729",2014,2,4,"Midwest",2,79,"Michigan","Texas",65,7,1
"1730",2014,2,4,"Midwest",7,65,"Texas","Michigan",79,2,0
"1731",2014,2,4,"Midwest",14,63,"Mercer","Tennessee",83,11,0
"1732",2014,2,4,"Midwest",11,83,"Tennessee","Mercer",63,14,1
"1733",2014,2,4,"Midwest",4,66,"Louisville","St Louis",51,5,1
"1734",2014,2,4,"Midwest",5,51,"St Louis","Louisville",66,4,0
"1735",2014,3,1,"South",1,79,"Florida","UCLA",68,4,1
"1736",2014,3,1,"South",4,68,"UCLA","Florida",79,1,0
